,A,Ant,B,Br,C,D,D2,E,F,G,Ge,K,L,O,W,Y,Z
M1_01_000,None,None,None,None,van iacob ende van martijn.,¶ dit is wapene martijn,None,None,None,dit es dierste boec vanden wapen merten,None,None,None,None,None,None,None
M1_01_001,vvaphene martin hoe salt gaen,None,waphene martin hoe salt gaen,None,uuapene martijn hoe zalt gaen,wapen martijn hoe salt gaen,None,None,wapene merten hoe saelt gaen.,wapen merten hoe saelt gaen:,None,None,waphene merten hoe saelt gaen,waphene martin hoe salt gaen,None,waphene martijn hoe saelt gaen,None
M1_01_002,sal die weerelt hiet langhe staen,None,sal de werelt yet lang staen,None,zal dese werelt iet langhe staen,sal dese werelt lange staen,None,None,sal dese werelt yet lange staen,sal dese werelt lange staen:,None,None,sal dese werelt lange staen,sal dese weerelt yet langhe staen.,None,sal dese weerelt langhe staen.,None
M1_01_003,in dus crancken loue,None,in dus crancken loue,None,in dus cranken loue,in desen crancken gheloue,None,None,in dus crancken geloue.,jn dus crancken loue:,None,None,in dus crancken loeue,in dus cranken loue,None,in dus crancken loue,None
M1_01_004,so moet vrouwe vereere saen,None,so moet mijn vrauwe ere zaen,None,so zal mijn vrouwe eere zaen,soe moet mijn vrouwe eer saen,None,None,soe sal mijn vrouwe van eeren saen,soe sal mijn vrouwen vereere saen:,None,None,soe sal mijn vrouwe veren saen,so zal mijn vrauwe eere zaen,None,soe moet mijn vrouwe eere saen,None
M1_01_005,sonder twifel ende waen,None,sonder twiuel ende waen,None,zonder twiuel ende waen,sonder twiuel ende waen/,None,None,sonder twiuel ende waen,sonder twiuel ende waen:,None,None,sonder twiuel ende waen,sonder twifel ende waen,None,sonder twiuel ende waen,None
M1_01_006,rumen heeren houe,None,rumen heren houe,None,rumen heren houe.,rumen der heren houe,None,None,rumen der heeren houe.,rumen heren houe:,None,None,rumen der heren houe,rumen der heeren houe,None,rumen der heeren houe,None
M1_01_007,ic zie den valschen wel ontfaen,None,ic sie die valsche wel ontfaen,None,ic zie den valschen wel ontfaen,ick sie den scalcken wel ontfaen,None,None,ic zie den scalken wel ontfaen,jc sie den scalken wel ontfaen:,None,None,ic sie den scalcken wel ontfaen,ic sie den scalke wel ontfaen,None,ic sie den scalcken wel ontfaen,None
M1_01_008,die de heeren conen dwaen,None,die de heren connen doerstaen,None,die de heren connen dwaen,die die heren connen dwaen,None,None,die de heeren connen dwaen,die de heren connen dwaen:,None,None,die de heren connen dwaen,die de heeren connen dwaen,None,die de heeren connen dwaen,None
M1_01_009,ende plucken vanden stoue,None,ende plocken vanden stoue,None,ende plucken van den stoue,ende plucken vanden stoue:,None,None,ende plucken vanden stoue,ende plucken van den stoue:,None,None,ende plucken vanden stoeue,ende plocken van den stoue,None,ende plucken vanden stoue,None
M1_01_010,ende ic zie den rechten slaen,None,ende ic sie den rechten slaen,None,ende ic zie den rechten slaen,ick sie den gherechten slaen.,None,None,ic zye den gherechten slaen,ende ic sie den rechten slaen:,None,None,ic sie den gherechten slaen,ic zie die gherechte slaen,None,ic sie den gerechten slaen,None
M1_01_011,beede bespotten ende beuaen,None,bede bespotten ende vaen,None,beide bescatten ende vaen,beyde scatten ende vaen:,None,None,beyde bescatten ende vaen,beide bespotten ende vaen:,None,None,beide bespotten ende vaen,bede bescatten ende vaen,None,beide bescatten en vlaen,None
M1_01_012,alse die meese in de cloue,None,als die meze in de cloue,None,alse die mese in die cloue,als die meese inden cloue.,None,None,alse die meese in die cloue,alse die meese in die cloue:,None,None,alse die meese inde cloeue,alse die meese in de cloue,None,alse die meese in die cloue,None
M1_01_013,rechts offene god verscroue,None,recht offen god verscoue,None,recht of hen god verscroue.,recht of hem god verscoue,None,None,recht often god verscroue.,rechte ochtene god verscroue,None,None,recht oftene god verscroeue,recht oftene god verscoue.,None,recht often god verscroue,None
M1_02_014,hoe langhe sal ghedoghen dit,None,hoe lang sal hi doghen dit,None,hoe langhe zal ghedoghen dit,hoe langhe sal ghedoghen dit,None,None,hoe langhe sal gedogen dit,hoe lange sal gedoegen dit:,None,None,hoe lange sal gedoegen dit,hoe langhe zal ghedoghen dit,None,hoe lange sal gedogen dit,None
M1_02_015,god die alle dinc besit,None,god die alle dinc besit,None,god die alle dinc besit,god die alle dinck besit,None,None,god. die alle dinc besit,god die alle dinc besit:,None,None,god die alle dinc besit,god die alle dijnc besit,None,god die alle dinc besit,None
M1_02_016,in sine heerscapie,None,in sijn heerscepie,None,in zijnre heerscappie,in sine heerscapie,None,None,in ziine heerscappie,jn sine heerscapie,None,None,in sine herscapie,in sine heerscapie,None,in sijn heerscaepie,None
M1_02_017,dat die goede vleeuwet ende bit,None,dat die guede fleut ende bidt,None,dat die goede vleet ende bidt,dat die goede smeect of bidt,None,None,dattie goede vleeut ende bid,dat die goede vleet ende bit:,None,None,dattie goede vleyt ende bidt,wat die goede vleeut ende bidt,None,dattie goede vleyt ende bit,None
M1_02_018,ende hem ne doech no dat no dit,None,ende hem dooch dat noch dit,None,"ende hem en doech noch dat noch dit,",hem en doech dat noch dit:,None,None,hem en doech dat no dit,ende hem en doech no dat no dit:,None,None,hem en doech dat no dit,hem en doech no dat no dit,None,hem en doech dat no dit,None
M1_02_019,dat hi hiet ghedie,None,dat hi yet ghedie,None,zoe dat hi iet ghedie,dattet yet ghedije,None,None,datti ye ghedye.,dat hi yet gedye:,None,None,dat hi yet ghedie,dat hij hier ghedie,None,van datti yet gedye,None
M1_02_020,al varet inden helschen pit,None,al wairtet inden helschen pit,None,al gaet in den helschen pit,het gaet al inden helschen pit/,None,None,al gaet inden helschen pit/,al varet in den helschen pit:,None,None,al gaet in den helschen pit,al gaet in den helschen pit,None,al varet inden helschen pit,None
M1_02_021,eist blaeu graeu zwart of wit,None,eist graeu blaeu zwart off wit,None,eest blau eest grau eest swart eest wit,eest graeu blaeu swert of wit/,None,None,eest grau blau zwert oft wit,eest graeu eest blaeu swert oft wit:,None,None,eest blau grau swert oft wit,eist grau blaeu zwart of wit,None,eest grau blau swart oft wit,None
M1_02_022,hets ghetrouwe als eene zie,None,tes ghetrauwe als die zie,None,hets ghetrouwe als die zye,het es ghetrouwe als die zye.,None,None,hets ghetrouwe als die zie,hets getrouwe als die sie:,None,None,hets ghetrouwe als die sie,het es ghetrauwe als die zie,None,hets getrouwe als die zide,None
M1_02_023,recht man deluet sonder spit,None,recht als een man deluet sonder spit,None,recht man deluet onderspit,recht man deluet sonder spit,None,None,recht man deluet sonder spit/,die rechte man graeft sonder spit:,None,None,recht man deluet sonder spit,recht man deluet zonder spit,None,recht man deluet sonder spit,None
M1_02_024,hine heuet te pointe niet ghehit,None,hien heeft te punte niet ghehit,None,hine heeft tepointe diet ghehit,hi en heeftet te punte niet ghehit,None,None,hine heeft te poynte niet gehit/,hine heeft te poente niet gehit:,None,None,hine heeft te poenten niet gehit,hij en heeft te pointe niet ghehit,None,hine heeft poente niet gehit,None
M1_02_025,inne gheer balgye,None,inne ghene talie,None,in enghene baelgye,in gheender baelgye:,None,None,in gheene baelgye/.,jn negene baelgie:,None,None,in ne ghene baelgie,in ne ghene baelgie,None,in ... baelgye,None
M1_02_026,mi es leet dat ic waer lye,None,mi es leet dat ic wair lie,None,mi is leet dat ic waer lye.,mij es leet dat ic waer lye,None,None,mi es leet dat ic waer lye/,mi es leet dat ic waer lie:,None,None,mi es leet dat ic waer lie,mij es leet dat ic waer lye,None,...et dat ic waer lye,None
M1_03_027,laet ons martin ouer een,None,laet ons martijn ouer een,None,laet ons martijn over een,laet ons martijn ouer een,None,None,laet ons merten ouer een,laet ons merten ouer een:,None,None,laet ons merten ouer een,laet ons martin ouer een,None,laet ons martijn ouer een,None
M1_03_028,hier af spreken onder ons tween,None,hier of spreken onder ons tween,None,hier af spreken onder ons tween,hier af spreken onder ons tween.,None,None,hier af spreken onder ons tween,spreken onder ons tween:,None,None,hier af spreken onder ons tween,te gader spreken onder ons tween,None,hier af spreken onder ons tween,None
M1_03_029,in dit dyaloghe,None,in dit dyaloghe,None,in dit dyaloghe,in desen dyaloghe.,None,None,in dit dyaloge.,jn dese dyaloge:,None,None,in dit dyaloeghe,in dit dyaloghe,None,in desen dyaloghe,None
M1_03_030,wanen dat eerst quam die ween,None,wanen eerst quam dese ween,None,wanne quam ons dese ween,van waen quam ons desen ween,None,None,wanen quam ons desen ween,wanen ons quam dese ween:,None,None,wanen quaem ons desen ween,wanen ons cam deese ween,None,wanen quam ons desen ween,None
M1_03_031,die wilen so onwert sceen,None,die wilen so ontwert sceen,None,dat die wilen zo onwaert sceen,die ter wijlen soe onwaert scheen,None,None,die wilen so onweert scheen,die wilen so onwert sceen:,None,None,die wilen soe onwaert scheen,die wijlen so onwaert scheen,None,die wilen soe onwert scheen,None
M1_03_032,ende nv sit so oghe,None,ende nv sit so hoghe,None,nu zit also hoghe,ende nv sit soe hoghe,None,None,ende nu sit dus hoghe,ende nu sit so hoge:,None,None,ende nv sit soe hoeghe,ende nu sit zo hooghe,None,ende nv sit soe hoeghe,None
M1_03_033,ic vraghe hu ende vleen,None,ic sal di vraghen ende vleen,None,ic zal vraghen ende vleen,ick sal vraghen ende vleen,None,None,ic sal vraghen ende vleen,jc sal vragen ende vleen:,None,None,ic sal v vraeghen ende vleen,ic zal vraghen ende vleen,None,ic sal vragen ende vleen,None
M1_03_034,berecht mi ia of neen,None,ende antwert mi ja of neen,None,ende andworde mi ja of neen,antwoert mij nv ia oft neen/,None,None,antwoirt mi ia oft neen,antwerdt mi ia ofte neen:,None,None,antwoort mi ia ofte neen,antwoordt my ia ofte neen,None,antwert nu ia oft neen,None
